recid,mm,dd,yy,county,loc_1
38575,4,25,68,Galway,"MA, Brookline (last)"
34452,12,23,65,Cork,"NY, NYC (1857)"
34453,12,23,65,Cork,"NY, NYC (1857)"
34454,12,23,65,Cork,"NY, NYC (1857)"
35259,5,26,66,Dublin,"OH, Cincinatti (1855)"
37781,11,16,67,Cork,"MA, Abington (1864)"
39120,8,8,68,Derry,"TX, Millican / Brazos Co. (last)"
34455,12,23,65,Cork,*Australia
34510,12,30,65,Antrim,
41135,11,27,69,Wicklow,
41136,11,27,69,Wicklow,
34776,3,3,66,Mayo,"IL, Chicago"
34881,3,17,66,Kerry,"NY, Binghampton, Broome Co. (Oct-64)"
35309,6,9,66,Clare,IL (1860)
35314,6,9,66,Cork,
35537,7,21,66,Galway,"MA, Boston (1861)"
34757,2,17,66,Kings Co.,"TN, Nashville"
37986,12,14,67,Roscommon,
37987,12,14,67,Roscommon,
37988,12,14,67,Roscommon,
37989,12,14,67,Roscommon,
38439,3,7,68,Cork,"MA, Boston"
41070,11,13,69,Galway,
33438,4,29,65,Waterford,"MA, Boston (1862)"
33478,5,13,65,,"AL, Mobile (10/64)"
33940,9,2,65,Tipperary,NC (1857)
34331,11,24,65,Meath,"MA, Boston (02/65)"
33693,7,1,65,Clare,NY
34306,11,18,65,Meath,"MA, Boston (02/65)"
36900,5,18,67,Wexford,"PA, Philadelphia"
38840,5,30,68,Limerick,
37541,10,12,67,Galway,"Australia, Sidney"
33485,5,13,65,Cork,"MA, New Bedford (left 1858)"
33919,8,26,65,Cork City,
33920,8,26,65,Cork City,
41167,12,4,69,Waterford,
36384,1,5,67,Mayo,"CT, Hartford (1861)"
35615,8,4,66,Tipperary,
33765,7,22,65,Limerick,"CT, Old Hartford (1860) "
38354,2,22,68,Mayo,
40688,8,28,69,Carlow,"Nova Scotia, Halifax - left 17 or 18 yrs ago"
33424,4,29,65,Carlow,"NY, New York (1851)"
33734,7,15,65,Tyrone,"LA, Franklin, St. Marys Parish (1861)"
34066,9,30,65,Tipperary,
34278,11,4,65,Cork,"MD, Evansville"
34960,3,31,66,Kerry,"MA, Boston (left 1-May-49)"
35258,5,26,66,Dublin,"OH, Cincinatti (1855)"
36723,4,13,67,Meath,"NJ, West Hoboken (1852)"
36769,3,30,67,Carlow,"Canada, Vancouvers Island, British Possesion (1862)"
38986,7,11,68,Antrim,Honduras
34777,3,3,66,,"PA, Milltown or Milford, West Chester (11/64)"
27346,12,29,60,kerry,"mo,st.louis,'57"
27347,12,29,60,kerry,"ma,brookline/brookland,'55"
27348,12,29,60,kerry,"oh,cincinnati,4/60"
39179,8,1,68,Clare,"IL, Peatown (fall 64)"
38458,3,14,68,"*England, Athol St, Liverpool","IL, Quincy(last)"
38459,3,14,68,"*England, Athol St, Liverpool","IL, Quincy(last)"
34197,10,14,65,Kerry,"MO, St. Louis (1860)"
35796,9,1,66,Cork,
38214,1,25,68,Kerry,"NY, Piermont (59)"
37229,8,31,67,"*Wales, Dowlais","MA, Boston (1866)"
33911,8,26,65,Longford,"OH, Cincinnati (1861)"
37687,7,13,67,Cork,"IL, La. Salle county"
36919,5,18,67,Cork,NY
35637,8,18,66,,
37547,10,5,67,,NY
34305,11,18,65,Queens Co.,
36563,2,16,67,Kerry,"NY, Booklyn"
37769,10,26,67,Wexford,"MA, Boston"
36320,12,1,66,Roscommon,
33422,4,29,65,Clare,
35335,6,16,66,,"MO, St. Louis"
33452,5,6,65,Mayo,"England, Crosbie, Liverpool"
33453,5,6,65,May,"England, Crosbie, Liverpool"
35500,7,21,66,,
35751,8,25,66,Wicklow,"RI, Providence (1843)"
34967,3,31,66,Cork,
39037,7,25,68,Cork,
39148,8,8,68,Galway,
33317,4,1,65,Cork,
33805,7,29,65,Kerry,"South Australia, Victoria (1862)"
34035,9,16,65,Waterford,
38452,3,7,68,Westmeath,"NY, Rochester(54)"
40175,5,22,69,Dublin,
34501,12,30,65,Meath,"MA, Boston (1851)"
36400,1,5,67,Cork,NY
33302,4,1,65,Kerry,"ME, bangor (1847)"
35179,5,12,66,Wexford,
35251,5,26,66,,"NY, 211 Water St. (1838)"
35737,8,25,66,Kilkenny,"Nova Scotia, Halifax (1857)"
36906,5,18,67,Galway,"KY, Covington"
36907,5,18,67,Galway,
37266,6,22,67,Limerick,NY
41111,11,20,69,Langford,"England, Lancashire, Hyde"
35469,7,14,66,Waterford,"MA, Boston (1851"
35470,7,14,66,Waterford,"MA, Boston "
35471,7,14,66,Waterford,"MA, Boston"
34860,3,17,66,,"WI, Madison (55/56)"
34317,11,25,65,Limerick,
34822,3,10,66,Kerry,"MA, 26 High St., Boston (09/59)"
38293,2,8,68,Queens,"OH, Columbus(50-53)"
35253,5,26,66,Queens,
35892,9,15,66,Cork,"VA, Richmond "
35252,5,26,66,Queens,
34314,11,25,65,"*Canada, Prince Edward Island","MA, Boston"
36271,1,26,67,Tipperary,"MA, Boston"
35264,5,26,66,Cork,Canada (supposed)
35233,5,19,66,Kilkenny,"CT, Hartford"
35266,5,26,66,Tyrone,NY (1863)
37479,8,24,67,Louth,
38196,1,25,68,Cork,"Canada, Quebec (38)"
41006,10,30,69,Mayo,"NY, New York City"
35270,5,26,66,Limerick,
35434,7,7,66,Leitrim,"MA, Burlington"
35604,8,4,66,Kerry,
38831,5,23,68,Galway,
35937,9,29,66,"*Scotland, Glasgow","PA, Philadelphia (09/66)"
35938,9,29,66,"*Scotland, Glasgow","PA, Philadelphia (09/66)"
39353,10,10,68,Cork,*England
35581,8,4,66,Fermanagh,"AL, Fort Deposit, Lownds"
32631,11,5,64,,
27659,3,2,61,*ireland,"wi,milwaukee & beloit rr"
17829,5,3,56,galway,"oh,franklin co"
7227,11,22,51,kerry,
30964,12,19,63,roscommon,"ns,'61"
27144,9,12,57,,"nfld,st.john's"
228,1,9,41,sligo,nyc
1184,3,14,46,monaghan,"pa,pittsburgh"
1345,8,8,46,wexford,"que,quebec,'34"
1711,4,24,47,,"ma,southbridge/golden vill."
1939,9,4,47,louth,"nyc,'27"
3094,10,28,48,tipperary,"ma,boston,'48"
3473,3,24,49,roscommon,"md,baltimore,'48"
3529,4,21,49,antrim,nyc
3598,5,12,49,limerick,
3739,6,30,49,cavan,"la,new orleans"
5149,8,24,50,donegal,"ct,new haven, 11/47"
5759,1,18,51,westmeath,"pa,pottsville 6/49"
8166,5,29,52,sligo,"nyc,11/51"
8296,6,26,52,tipperary,"la,new orleans"
9753,3,12,53,kilkenny,"al,mobile"
10085,5,7,53,,"ny,deposit"
11307,10,22,53,,"ny,rochester"
12360,3,18,54,cavan,
12608,4,8,54,cork,"me,eastport"
14488,11,25,54,roscommon,"ma,worcester,8/1/54"
15637,5,19,55,limerick,quebec
16121,7,28,55,limerick,
16122,7,28,55,limerick,
16577,10,6,55,cork,"ga,savannah"
17006,12,15,55,kildare,"ma,boston"
17641,4,5,56,meath,
18360,7,12,56,tipperary,"nyc,'50"
18752,9,6,56,kilkenny,
22749,6,5,58,queens,"ny,buffalo"
23190,9,11,58,tipperary,"nyc,'53"
28373,9,7,61,mayo,
29048,6,21,62,kildare,"ny,troy"
29049,6,21,62,kildare,"tn,memphis"
29606,7,7,66,monaghan,"ny,delaware co."
30031,5,9,63,clare,"ma,greenfield,2/61,c/m.geary"
30506,9,12,63,waterford,"ma,e.boston,'59"
31591,4,16,64,clare,"ny,w.troy"
32964,1,28,65,Armagh,"NY, Brooklyn"
35338,6,9,66,Cavan,"NY, Brooklyn (left 1854)"
5497,11,23,50,kildare,"nyc,'34"
6402,6,14,51,clare,"*eng,liverpool,'46"
16120,7,28,55,limerick,
29999,5,9,63,,"pa,phila."
2347,2,5,48,cork,"sc,charleston"
3124,11,11,48,cork,
25554,1,21,60,kilkenny,"que,montreal,'58"
167,6,1,39,,nyc
222,12,5,40,waterford,"us,new england states"
329,11,13,41,tyrone,"ma,boston & lowell"
334,12,4,41,tipperary,"vt,green mts."
338,1,1,42,cork,"la,new orleans, '41"
584,1,13,44,meath,"ma,taunton,'38"
588,1,27,44,cork,"ga,"
739,10,26,44,tipperary,"vt,craftsbury"
825,3,15,45,,"il,chicago,randolph st."
952,8,9,45,kerry,"ma,"
1001,9,13,45,cork,"nbr,st.john,'42"
1058,11,8,45,cork,"pa,dauphin, 9/44"
1375,8,29,46,kerry,"il,wells co."
1517,11,28,46,cork,"la,new orleans,174tchapitous"
1555,12,26,46,queens,"md, baltimore, ""the landing"""
1632,3,6,47,kerry,"ma,boston,"
2035,10,16,47,tipperary,"nh,washington mtn.5/46"
2043,10,23,47,cavan,"quebec,'47"
2140,11,20,47,louth,
2141,11,20,47,louth,
2204,12,18,47,cavan,"pa,newquehoning,carbon co."
2442,3,11,48,limerick,"ma,quincy,'47"
2705,6,24,48,dublin,nyc
2795,7,22,48,cork,"ky,cedar,'42"
2987,9,30,48,cork,"ma,boston,'36"
2988,9,30,48,cork,"ma,boston,'36"
3091,10,28,48,westmeath,"nyc,'35"
3116,11,4,48,wicklow,"nyc,'44"
3136,11,11,48,tipperary,"ma,boston, 7/48"
3163,12,2,48,cork,france
3164,12,2,48,cork,france
3626,5,19,49,mayo,"que,montreal"
3643,5,26,49,cork,"in,davies, clay co.,2/49"
3699,6,16,49,clare,"nyc,'48"
3702,6,16,49,cork,"quebec,'33"
3896,8,25,49,dublin,"ma,boston"
3901,8,25,49,kerry,"vt,bartinsville"
4038,10,6,49,limerick,"nyc,'45"
4045,10,6,49,tipperary,"quebec,'36"
4148,11,10,49,kerry,"pa,alleghany city"
4182,11,17,49,kerry,"ont,oxwelleechward"
4241,12,8,49,mayo,que.
4368,1,19,50,cork,"ny,buffalo, 7/49"
4476,2,16,50,cork,"nyc,'48"
4621,3,30,50,galway,"nyc,'48"
4979,7,6,50,galway,"pa,philadelphia"
5070,8,3,50,meath,"ma,boston,'47"
5139,8,17,50,tipperary,
5228,9,14,50,cork,"la,new orleans"
5301,10,5,50,,"ma,boston,'46"
5307,10,5,50,clare,"nyc,'46"
5328,10,12,50,armagh,"ma,boston,'49"
5470,11,16,50,kerry,"me,portland"
5503,11,23,50,mayo,que.
5937,3,8,51,cork,"md,baltimore 2/50"
5968,3,8,51,wicklow,"la,new orleans,'50"
6150,4,26,51,cork,
6352,5,31,51,tipperary,"ma,boston,'39"
6442,6,21,51,donegal,"pa,philadelphia,11/49"
6464,6,28,51,carlow,"ma,boston,east/south"
6810,8,30,51,limerick,"*eng,london,'49"
6891,9,20,51,cavan,
7037,10,11,51,dublin,
7150,11,8,51,cork,nyc
7178,11,15,51,clare,
7221,11,22,51,galway,nyc
7437,1,3,52,kilkenny,
7470,1,10,52,tipperary,"md,baltimore,6/50"
7636,2,14,52,roscommon,"ma,boston,7/51"
7637,2,14,52,roscommon,"ma,boston,7/51"
7654,2,21,52,galway,
7841,3,27,52,limerick,"quebec,'48"
7951,4,24,52,clare,"pa,tinker run,westmoreland*"
8102,5,22,52,dublin,nyc
8129,5,22,52,waterford,"ct,'49"
8145,5,29,52,cork,"ma,e.boston,'50"
8264,6,19,52,londonderry,"la,new orleans,'49"
8319,7,3,52,kilkenny,"ma,"
8759,9,25,52,,"ct,4/52"
8900,10,9,52,tipperary,quebec
9029,11,6,52,cavan,nyc
9088,11,13,52,tipperary,"nyc,'40"
9126,11,20,52,meath,
9313,1,1,53,louth,"la,new orleans"
9592,2,12,53,limerick,
9826,3,19,53,wexford,
10348,6,11,53,kerry,"il,chicago,"
10519,7,9,53,kilkenny,"oh,cincinnati,"
10841,8,20,53,kildare,"vt,castleton,51;nh,hanover"
11532,12,3,53,meath,"oh,cleveland (51)"
11579,12,10,53,limerick,
11582,12,10,53,limerick,"nyc,'49"
11864,1,21,54,galway,
11904,1,28,54,,"ny,erie, buffaloco"
12306,3,11,54,clare,
12382,3,18,54,kilkenny,"ma,boston"
12405,3,18,54,tipperary,"ny,w.granville,wa co,48*"
12406,3,18,54,tipperary,"ny,troy"
12474,3,25,54,londonderry,"pa,summersville*"
12617,4,8,54,down,"ny,cold springs '49"
13054,6,3,54,limerick,"quebec,'40"
13207,6,24,54,kilkenny,
13277,7,1,54,waterford,"ont,whitehall,51"
13975,9,23,54,monaghan,"ri,providence"
14054,10,7,54,cork,
14174,10,21,54,cork,
14480,11,25,54,meath,"quebec,'46"
14481,11,25,54,meath,"quebec,'46"
14725,1,6,55,waterford,
14918,2,3,55,clare,"nbr,st.john"
15574,5,12,55,,"oh,cincinnati"
15662,5,26,55,cork,"nyc,'51"
15704,5,26,55,roscommon,nyc
16453,9,8,55,roscommon,quebec
17430,3,8,56,kings,"oh,commonsville"
17456,3,8,56,waterford,
17526,3,22,56,donegal,il
17564,3,22,56,tipperary,"mo,jefferson city"
17611,3,29,56,wexford,"la,new orleans,'51"
18037,5,31,56,kilkenny,
18172,6,21,56,galway,"nyc,'49"
18903,9,20,56,meath,"ma,lowell'51"
18941,10,4,56,cavan,"ma,boston"
18999,10,11,56,clare,"ma,shirley,48"
19216,11,15,56,cork,"il,new albany"
19463,12,13,56,*scotland,
19641,1,17,57,mayo,"va,wheeling"
19910,2,28,57,clare,"ny,e.troy(54)"
20150,3,28,57,roscommon,"ny,boonville,'50"
21908,12,26,57,tipperary,"nfld,st.john"
22373,3,20,58,kerry,"NY, Binghamton - fall 1855"
23357,10,16,58,clare,"oh,cincinnati"
23358,10,16,58,clare,"in,"
23897,2,5,59,wicklow,"[],bristol co.*"
24128,3,19,59,kerry,"*eng,liverpool"
24279,4,16,59,mayo,"oh,yellow creek,summit co.*"
24596,6,25,59,mayo,"ny,monroe st,ny"
24888,6,23,49,wexford,"quebec,'43"
24939,9,10,59,leitrim,"la,new orleans,4/59"
25231,11,5,59,mayo,
25534,1,21,60,galway,"ma,lowell,7/57"
25539,1,21,60,cork,"la,new orleans,4/58"
25540,1,21,60,cork,"la,new orleans,4/58"
25553,1,21,60,kilkenny,"que,montreal,'58"
25555,1,21,60,kilkenny,"que,montreal,'58"
25949,4,7,60,cork,"nyc,'46"
26122,5,12,60,cork,"oh,bray,7/54"
26327,6,16,60,mayo,"tn,memphis"
26515,7,28,60,tipperary,"il,chicago,10/58"
26817,9,22,60,kerry,"oh,greenfield"
27165,1,19,61,clare,"ny,brooklyn"
27311,12,15,60,clare,"il,moline,'57"
27958,4,13,61,clare,"nj,believed there"
28154,6,15,61,cork,"ont,kingston,lobora,'53"
28155,6,15,61,cork,"ont,kingston,lobora,'53"
28698,2,1,62,kilkenny,"ma,s.boston,w/roany"
28709,2,8,62,kildare,"ny,syracuse"
28912,4,26,62,armagh,"ma,boston,'51"
29376,11,15,62,cork,"ny,brooklyn"
29937,4,18,63,donegal,"pa,phila."
29957,4,25,63,cork,"nyc,'59"
29958,4,25,63,cork,"nyc,'59"
30287,7,25,63,meath,"nyc,'53-59"
30288,7,25,63,meath,"nyc,'53-59"
30368,8,15,63,mayo,"md,baltimore"
30664,10,17,63,,"ca,sacramento city,4/61"
30862,12,5,63,tipperary,
30923,12,12,63,kings,"ct,bridgeport,'54"
31060,1,16,64,,"ma,no.bridgewater,'54"
31532,4,2,64,tipperary,"ny,albany,43"
31636,4,23,64,cavan,
31839,6,4,64,,"VA, Richmond - Left 20/8/62"
40413,6,26,69,,"OH, Cincinnati (left 1868)"
40423,6,26,69,,"NY, Brooklyn Navy Yard (last heard 1854)"
25624,2,4,60,kerry,"nyc,'56"
25687,2,18,60,sligo,"*eng,liverpool"
18714,8,30,56,mayo,"nyc,'46"
31745,5,7,64,Clare,"NYC, 1849"
32481,9,24,64,*Scotland,
19865,2,21,57,limerick,
6634,8,2,51,cork,"ma,boston,'48"
14392,11,18,54,,"*eng,liverpool"
17883,5,10,56,down,"nyc,'52"
33970,8,5,65,Cavan,NY (left for) (1853)
22248,2,27,58,limerick,"md,baltimore"
5523,11,30,50,galway,"pa,"
1213,4,11,46,donegal,"canada,'42"
3738,6,30,49,cavan,"nbr,st.john,'46"
3802,7,28,49,cork,"nyc,'46"
3803,7,28,49,donegal,"mi,jacksonburgh,'37-43"
5152,8,24,50,kilkenny,nyc
5246,9,21,50,kerry,"nyc,3/49"
5907,3,1,51,cavan,"il,alton, 6/50"
6164,4,26,51,kerry,"nc,"
6373,6,7,51,galway,"la,new orleans 8/49"
6956,9,27,51,kilkenny,quebec
10731,8,6,53,kerry,"ny,schaghticoke point"
11028,9,17,53,,"*eng,"
15638,5,19,55,limerick,quebec
16500,9,15,55,limerick,"mi,detroit"
19637,1,17,57,limerick,can
680,7,27,44,westmeath,"pa,philadelphia"
681,7,27,44,westmeath,"mi,detroit"
984,8,30,45,waterford,"nfld,newfoundland,'25"
1357,8,22,46,cork,"ms,natchez,adams co.,'44"
3048,10,21,48,,"ns,lunenburg"
3689,6,9,49,mayo,"quebec,'43"
4656,4,6,50,limerick,"nyc,'49"
4771,5,11,50,limerick,
4898,6,15,50,cork,"ont,queenstown(kingston?)'44"
7288,12,6,51,kerry,"ny,brooklyn"
7680,2,28,52,,
8131,5,22,52,wicklow,
8217,6,12,52,kerry,"nyc,'47"
8329,7,3,52,mayo,
8729,9,18,52,fermanagh,"nbr,st.john,'43"
8809,10,2,52,cavan,"nyc,'36"
15185,3,17,55,carlow,
17506,3,22,56,clare,"ny,saratoga"
19673,1,24,57,kildare,"nyc,('48)"
19827,2,14,57,monaghan,"ny,brooklyn"
23730,1,8,59,kerry,"ny,buffalo'51"
25514,1,14,60,down,"nbr,st.john"
25619,2,4,60,cork,
26804,9,22,60,kilkenny,"pa,mansfield,tioga co.'54"
27427,1,5,61,waterford,"ma,worcester,'59"
28374,9,7,61,cavan,"canada,'31"
29104,7,19,62,waterford,"nfld,harbor grace"
29105,7,19,62,waterford,"nfld,harbor grace"
29106,7,19,62,waterford,"nfld,harbor grace"
29107,7,19,62,waterford,"nfld,harbor grace"
29325,10,11,62,leitrim,"ri,providence,11/60"
30758,11,14,63,cork,"ma,salem,'56"
30949,12,19,63,clare,"oh,cleveland,10/63"
183,11,2,39,limerick,"ma,boston,12/38"
3734,6,23,49,wexford,"ont,ottawa (bytown)"
5903,2,22,51,waterford,"quebec,'47"
8133,5,29,52,,
8865,10,9,52,cork,"nbr,'46"
8920,10,16,52,cork,"il,springfield"
13899,9,16,54,fermanagh,"ma,boston,'50"
15689,5,26,55,kilkenny,"*eng,manchester"
18162,6,21,56,clare,"*argentina,buenos aires"
19494,12,20,56,cork,"ma,boston(53)"
21441,10,3,57,donegal,"pa,hazleton"
28981,5,24,62,waterford,"ct,bridgeport,'56"
28982,5,24,62,waterford,"ia,muscatine,'56"
29814,3,14,63,roscommon,"ma,boston,'61"
30172,6,27,63,limerick,"ny,brooklyn,guana,'56"
39681,2,6,69,Limerick,
39682,2,6,69,Limerick,
30856,12,5,63,queens,"ny,williamsburg,7th/2nd,'61"
23901,2,12,59,,"ont,toronto,1/59"
15989,7,7,55,tipperary,
29359,11,1,62,meath,"nj,5/61"
473,1,23,43,,"*eng,manchester,'36"
982,8,30,45,tyrone,"md,baltimore,'43"
2463,3,18,48,,"nyc,'30"
6309,5,24,51,dublin,"ma,worcester, 8/49"
7540,1,31,52,cork,"ma,boston,10/48"
8420,7,24,52,*england,
15223,3,17,55,mayo,"md,baltimore"
16959,12,1,55,armagh,
18748,9,6,56,kerry,
20213,4,11,57,limerick,
24495,6,4,59,louth,"ia,dubuque,5*"
27734,3,9,61,clare,"sc,charleston,'57"
28430,9,28,61,dublin,"nyc,'52"
30320,8,1,63,dublin,
31359,3,5,64,dublin,"ca,'54"
39500,11,21,68,,"*CE, Montreal 1858 last heard"
1200,3,28,46,londonderry,"pa,philadelphia,'45"
1201,3,28,46,londonderry,"*scotland, glasgow,'42"
7924,4,10,52,waterford,"la,new orleans"
4873,6,8,50,kilkenny,"ma,boston,nr.9/49"
25691,2,18,60,queens,"md,baltimore,'59"
31436,3,19,64,clare,"*new zealand,10/61"
32577,10,22,64,Tyrone,NYC
2658,6,10,48,,"ma,boston,'48"
4087,10,20,49,kilkenny,"ri,woonsocket falls"
4362,1,12,50,waterford,nyc
5956,3,8,51,queens,"quebec,'50"
9840,3,26,53,,
10822,8,20,53,cavan,"fl,tampa bay"
12140,2,18,54,limerick,"md,baltimore"
13432,7,22,54,waterford,"ma,boston,'47"
15246,3,24,55,cavan,
15398,4,14,55,,"nbr,fredericton"
16897,11,24,55,cork,"ma,boston,6/55"
16907,11,24,55,cork,"ny,albany '53"
17232,2,9,56,,"nbr,st.john"
18066,6,7,56,donegal,"ont,toronto"
21679,11,7,57,cork,
21680,11,7,57,cork,
24891,1,12,50,waterford,nyc
29869,3,28,63,waterford,"ma,boston"
37689,7,13,67,Cork,
40951,10,23,69,Clare,"IN, Terre Haute"
30462,8,29,63,cork,"wi,"
13516,8,12,54,,
28305,8,10,61,clare,"ire,limerick city"
37621,8,17,67,Dublin,"NY, 144 Third Ave (02/66)"
965,8,23,45,monaghan,"quebec city,'43"
2763,7,15,48,cork,"quebec,'32"
13327,7,8,54,queens,"que,montreal"
15647,5,26,55,,
22281,3,6,58,cavan,"nyc,'48"
28845,4,5,62,cork,"ma,boston,5/61"
29992,5,2,63,*scotland,"il,chicago"
26908,10,6,60,cavan,"nyc,'43"
11136,10,1,53,,"md,baltimore,5/53"
8948,10,23,52,,"nyc,'47"
3427,3,10,49,dublin,"nyc,'44"
1489,11,7,46,kildare,"nyc,'45"
13,7,6,32,donegal,"nbr,st.john,'19"
100,7,30,36,,
240,4,10,41,cork,pei
428,9,10,42,cork,nyc
562,11,4,43,,"nbr,st.john,'41"
888,5,31,45,,"ma,boston"
1108,12,27,45,cork,"pa,pittsburgh, 1/43"
1148,2,21,46,donegal,"nyc,42nd st."
1226,5,2,46,cork,"la,new orleans"
1229,5,2,46,kildare,west
1354,8,15,46,tipperary,"pa,philadelphia,'38"
1459,10,17,46,cork,
1499,11,14,46,cork,"nbr,st.john"
1697,4,3,47,limerick,"ont,pt.henry,nr kingston'45"
1717,4,24,47,wicklow,"ont,toronto, '44"
1834,7,24,47,cork,nyc
1988,9,25,47,kildare,
2712,6,24,48,queens,"il,"
2942,9,9,48,limerick,"nyc,'48"
3274,1,13,49,londonderry,"*eng,london,'42"
3334,2,3,49,londonderry,"nbr,st.john,7/48"
3465,3,24,49,cavan,"ri,newport"
3728,6,23,49,queens,"oh,"
4076,10,20,49,clare,"ma,grafton"
4113,10,27,49,limerick,
4124,11,3,49,cork,"ma,boston or vicinity"
4313,12,29,49,mayo,"pei,'48"
4409,2,2,50,cork,"me,halifax"
4544,3,9,50,cork,"ma,roxbury"
4735,4,27,50,tipperary,"ma,boston"
4755,5,4,50,*england,"il,chicago"
5024,7,20,50,clare,"oh,cleveland"
5025,7,20,50,cork,"ma,springfield"
5156,8,24,50,tipperary,"que,montreal,'48"
5202,9,7,50,westmeath,"nyc,'35"
5297,9,28,50,waterford,"nyc,'48"
5327,10,12,50,armagh,"ma,boston,'49"
5357,10,19,50,limerick,"ont,toronto"
5498,11,23,50,kings,"la,new orleans"
5677,1,11,51,,"pa,new castle,mercer co."
5885,2,22,51,longford,"md,"
6201,5,3,51,galway,"ny,albany"
6447,6,21,51,kilkenny,"ri,'49"
6575,7,19,51,kilkenny,"quebec,'46"
6605,7,26,51,kilkenny,"ny,rochester"
7205,11,15,51,tipperary,quebec
7948,4,24,52,,"nbr,st.john"
8140,5,29,52,cork,"oh,cincinnati"
8297,6,26,52,tipperary,"nyc,3/15/52"
8346,7,10,52,cavan,
8396,7,17,52,meath,"nyc,47"
8517,8,7,52,tipperary,"ny, syracuse, 5/49; wi"
8636,8,28,52,queens,"la,new orleans"
8746,9,18,52,westmeath,
8754,9,25,52,,"ny,buffalo,5/27/51"
8810,10,2,52,cavan,"ri,newport"
9117,11,20,52,galway,
10020,4,23,53,galway,"tn,nashville"
10354,6,11,53,kilkenny,"oh,cincinnati"
10435,6,25,53,carlow,"la,new orleans,48"
12827,5,6,54,kerry,
12857,5,12,54,wicklow,nyc
13294,7,8,54,clare,"ms,vicksburgh -lastplace"
13339,7,8,54,wexford,"ma,boston,'52"
14297,11,4,54,armagh,"ont,hamilton,'53"
14560,12,9,54,kerry,nyc'51
15535,5,5,55,carlow,"ny,long island12/54"
15586,5,12,55,donegal,"pa,reading"
15611,5,12,55,wicklow,nyc
15612,5,12,55,wicklow,nyc
16083,7,21,55,tipperary,"la,new orleans"
16084,7,21,55,tipperary,nyc
16469,9,15,55,cork,"nbr,st.john"
17210,2,2,56,cork,"nj,"
17241,2,9,56,cork,"la,new orleans"
17437,3,8,56,limerick,"quebec,7/49"
17770,5,1,56,fermanagh,"il,chicago,lk superior"
18013,5,24,56,wicklow,
18532,8,9,56,mayo,
18821,9,13,56,cork,"nj,"
18834,9,13,56,limerick,
19200,11,8,56,wexford,nyc
19341,11,29,56,queens,"quebec,'32"
19687,1,24,57,queens,"nfld,st.john's"
19861,2,21,57,kildare,"ky,"
22601,5,8,58,donegal,"ri,providence"
22783,6,12,58,tipperary,"quebec,'47"
23885,2,5,59,meath,"mo,st.louis,58"
23958,2,19,59,,"la,new orleans"
24062,3,5,59,wicklow,"la,new orleans"
24118,3,19,59,clare,nyc'51
24130,3,19,59,kilkenny,"oh,cleveland"
24447,5,28,59,cavan,"pa,mineral pt,bedford co."
25313,11,26,59,tipperary,
25383,12,10,59,cavan,nyc
25474,1,7,60,*scotland,
26486,7,28,60,,"ny,astoria,w/connell"
26544,8,11,60,westmeath,"pa,greensburg"
26625,8,25,60,,"ont,toronto"
26736,9,8,60,tipperary,"ont,hamilton,'58"
26897,10,6,60,,nyc
27534,1,26,61,kings,"pa,pittsburgh"
28166,6,22,61,kerry,"oh,woodstock,'53"
28303,8,10,61,waterford,"ny,troy"
28370,9,7,61,limerick,"oh,cincinnati,5/10/61"
28703,2,8,62,waterford,"nyc,45/46"
28704,2,8,62,tipperary,"nyc,45/46"
28990,5,31,62,cork,"ma,boston,'47/48"
29189,8,16,62,tipperary,"ny,piermont,'60"
29388,11,22,62,*england,"wi,milwaukee,9/57"
30195,7,4,63,cork,"que,montreal,w/si=mrs.collin"
30481,3,13,69,waterford,"ns,'49"
30734,11,7,63,cork,"que,montreal,w/si=mrs.collin"
30736,11,7,63,meath,"wi,'55"
30737,11,7,63,meath,"wi,'55"
31390,3,12,64,cork,
31470,3,19,64,limerick,"ca,"
32944,1,21,65,Meath,
34664,2,3,66,Louth,"MD, Baltimore (1857)"
35222,5,19,66,Cork,
39938,3,6,69,Cork,"PA, Yellow Springs, Dauphin Co. (1859) "
40735,9,11,69,Galway,"LA, New Orleans"
14949,2,3,55,tipperary,
27494,1,19,61,*germany,"south,'53"
23221,9,18,58,tipperary,"pa,"
16946,12,8,55,*england,nyc
22320,3,13,58,,nyc
6897,9,20,51,cork,
22427,4,3,58,cork,"ny,harlem"
11731,12,31,53,roscommon,"nbr,st.john"
25393,12,17,59,galway,nyc/boston
25394,12,17,59,galway,nyc/boston
20118,3,28,57,donegal,"ct,s.killingly,8/56"
32960,1,21,65,Mayo,"MA, Boston"
34824,3,10,66,Kerry,"IN, Indianapolis"
105,8,20,36,antrim,"ct,hartford or ny,"
1802,7,10,47,,"ny,ross's point"
2081,11,6,47,dublin,
1883,8,14,47,mayo,"me,portland, '45"
5085,8,10,50,cork,"mi,laurel,genesee co."
32186,8,6,64,,"Ireland, Bellack (last heard from 1858)"
27918,5,6,61,cork,"ca,"
1932,9,4,47,kilkenny,nyc
30634,2,5,81,monaghan,"md,baltimore"
20443,5,16,57,fermanagh,"ct,sherburn"
26362,6,23,60,limerick,"mo,st.louis,'54"
25976,4,16,64,monaghan,
8236,6,19,52,,"nyc,6/51"
18388,7,19,56,down,"nyc,'46"
12425,3,25,54,clare,
10010,4,23,53,Cavan,"nyc,'48"
25710,2,18,60,galway,"*austr,sydney,'36"
