recid,mm,dd,yy,county,loc_1
39446,11,7,68,Roscommon,
39447,11,7,68,Clare,"CE, Quebec (1863 last heard)"
39448,11,7,68,Clare,"CE, Quebec (1863 last heard)"
39449,11,7,68,Clare,"VT, West Rutland (left fall 1850)"
39450,11,7,68,Clare,"VT, West Rutland (left fall 1850)"
39451,11,7,68,Clare,"WI, Waghigan (about 1862)"
39452,11,14,68,,"RI, Providence (left 1864)"
39453,11,14,68,"CA, Los Angeles (June 1868 last heard)",
39454,11,14,68,"*CW, Toronto",
39455,1,14,68,Kings,Rome
39456,11,14,68,Fermanagh,"NY, Rochester (1867 Sept last heard)"
39457,11,14,68,Fermanagh,"NY, Rochester (Sept 1867 last heard)"
39458,11,14,68,Fermanagh,"NY, Rochester (Sept 1867 last heard)"
39459,11,14,68,Kilkenny,"NY, Brooklyn, No. 10 Verandah Place (last heard)"
39460,11,14,68,Louth,"IL, Jacksonville (left 1861)"
39461,11,14,68,Louth,"IL, Jacksonville (left 1861)"
39462,11,14,68,Louth,"IL, Jacksonville (left 1861)"
39463,11,14,68,Louth,"IL, Jacksonville (left 1861)"
39464,11,14,68,Louth,"IL, Jacksonville (Left 1861)"
39465,11,14,68,Monaghan,"NY, Rochester (1856 last heard)"
39466,11,14,68,Cork,"MD, Frederick Co., Mechanicstown"
39467,11,14,68,Cork,"WV, Wheeling (last heard Nov 1867)"
39468,11,14,68,Cork,"OH, Wooster 1851"
39469,11,14,68,Cork,"OH, Wooster 1851"
39470,11,14,68,Cork,"OH, Wooster 1851"
39471,11,14,68,Cork,"OH, Wooster 1851"
39472,11,14,68,Cork,"OH, Wooster 1851"
39473,11,14,68,Cork,"*CE, Quebec"
39474,11,14,68,Cork,"*CE, Quebec"
39475,11,14,68,Cork,"*CE, Quebec"
39476,11,14,68,Cork,"*CE, Quebec"
39477,11,14,68,Cork,"*CE, Quebec"
39478,11,14,68,Cork,"*CE, Quebec"
39479,11,14,68,Kerry,"VA, Martinsburg (Spring 1858 last heard)"
39480,11,14,68,Roscommon,MD supposed
39481,11,14,68,Clare,Jersey city for 3 months
39482,11,14,68,Clare,KS
39483,11,21,68,Tipperary,"NY, Westchester Co. "
39484,11,21,68,Tipperary,"PA, Philadelphia 1857"
39485,11,21,68,Down,"LA, New Orleans 1855 last heard"
39486,11,21,68,Queens,"*CE, New Brunswick, St. John 1859"
39487,11,21,68,Cork,"*CW, Lindsay last heard 1852"
39488,11,21,68,Cork,"*CE, Point Clare 1864 last heard"
39489,11,21,68,Roscommon,
39490,11,21,68,,
39491,11,21,68,,
39492,11,21,68,,
39493,11,21,68,,
39494,11,21,68,,
39495,11,21,68,Roscommon ,
39496,11,21,68,Roscommon,
39497,11,21,68,Roscommon,NY Sept 1867 last seen
39498,11,21,68,Galway,
39501,11,21,68,Wicklow / Wexford,
39502,11,21,68,Wicklow / Wexford,
39503,11,21,68,Wicklow / Wexford,
39504,11,28,68,,"PA, Cambria Co., Johnstown last heard 1865"
39505,11,28,68,,"MA, Charlestown left Sept 1867"
39506,11,28,68,"*England, Manchester",
39507,11,28,68,Mayo,NY
39508,11,28,68,Mayo,
39509,11,28,68,Sligo,"TN, Chatanooga Nov 1865 last heard"
39510,11,28,68,Tipperary,"NY, Duchess Co., Spencers Corner"
39511,11,28,68,Kilkenny,"*CW, Railroad 1862 last heard"
39512,11,28,68,Kilkenny,"*CW, Railroad 1862 last heard"
39513,11,28,68,Limerick,"*CE, Quebec, Dexters Hotel"
39514,2,6,69,Cork,"PA, Allentown"
39515,2,6,69,Cork ,"PA, Allentown"
39516,11,28,68,Limerick,"NY, Wellington Co., Aroraea 1862 last heard"
39517,11,28,68,Limerick,"NY, Wellington Co., Aroraea 1862 last heard"
39518,11,28,68,Cork,
39519,11,28,68,Cork,
39520,11,28,68,Cork,
39521,11,28,68,Cork,
39522,11,28,68,Cork,
39523,11,28,68,Cork,
39524,11,28,68,Kerry,"MA, Boston, No. 102 Endicott St. (left July last)"
39525,11,28,68,Roscommon,"IL, Chicago 1863 last heard"
39526,11,28,68,Clare,"MA, Boston"
39527,11,28,68,Galway,*England for 2 yrs
39528,12,5,68,,Abington (1859)
39529,12,5,68,,"MA, Boston"
39530,12,5,68,,NY (until 03/68)
39531,12,5,68,Fermanagh,"NY, Long Island"
39532,12,5,68,Kildare,
39533,12,5,68,Donegal,"PA, Buck Mountain, Carbon Co. (Left 1866)"
39534,12,5,68,Tipperary,"NY, Bridgewater, Oneida Co. (51/52)"
39535,12,5,68,Limerick,"Canada, Upper Hamilton"
39536,12,5,68,Limerick,"Canada, Upper Hamilton"
39537,12,5,68,Limerick,"Canada, Upper Hamilton"
39538,12,5,68,Limerick,"Canada, Upper Hamilton"
39539,12,5,68,Limerick,"Canada, Upper Hamilton"
39540,12,5,68,Waterford,
39541,12,5,68,Cork,"MO, St. Louis (1865)"
39542,12,5,68,Kerry,Canada
39543,12,5,68,Roscommon,"MA, Lowell (last heard)"
39544,12,5,68,Clare,"NY, Binghampton (left Jul-4-68)"
39545,12,5,68,Clare,"IL, Springfield (last heard)"
39546,12,5,68,,
39547,12,5,68,,
39548,12,5,68,Clare,TX
39549,12,5,68,Clare,
39550,12,5,68,Clare,"NJ, Broadington, Burlington Co. (1862) "
39551,12,5,68,Clare,NJ (Last heard)
39552,12,12,68,,New Mines (left 08/62)
39553,12,12,68,,NY (Left 01/66)
39554,12,12,68,,MI (last heard 05/67)
39555,12,12,68,Roscommon,"PA, Plumberville, Venango Co. (last heard 02/66)"
39556,12,12,68,Kings / Offaly,"OH, Toledo (last heard)"
39557,12,12,68,Tyrone,
39558,12,12,68,Tyrone,
39559,12,12,68,Leitrim,"OH, Cleveland"
39560,12,12,68,Fermanagh,
39561,12,12,68,Fermanagh,
39562,12,12,68,,
39563,12,12,68,Fermanagh,"MA, Boston (last heard 1858)"
39564,12,12,68,Donegal,
39565,12,12,68,Sligo,"MA, Lawrence (left 1852)"
39566,12,12,68,Galway,"LA, New Orleans (Last heard, 1864)"
39567,12,12,68,Kilkenny,"NY, Palmyra, Wayne Co. "
39568,12,12,68,Kilkenny,"NY, Palmyra, Wayne Co. "
39569,12,12,68,Wicklow,NJ or PA
39570,12,12,68,Roscommon,
39571,12,12,68,Roscommon,
39574,12,12,68,Limerick,"NY, Clyde, Wayne Co. "
39573,12,12,68,Roscommon,
39575,12,12,68,Limerick,"NY, Clyde, Wayne Co. "
39576,12,12,68,Limerick,"NY, Clyde, Wayne Co. "
39577,12,12,68,Limerick,"OH, Mechanicsburg, Champaign Co. (1860) "
39578,12,12,68,Cork,
39579,12,12,68,,NY
39580,12,12,68,Cork,"IL, Oswegio (supposed) "
39581,12,12,68,,"IL, Osweigo (supposed)"
39582,12,12,68,,"IL, Osweigo (supposed)"
39583,12,12,68,,"IL, Osweigo (supposed)"
39584,12,12,68,Cork,"NY, Peermount (left 1856)"
39585,12,12,68,Cork,"NY, Lewis Co. (1865) "
39586,12,12,68,Cork,"OH, Plato P O, Amherst Corners, Lorrain Co. (last address)"
39587,12,12,68,Cork,
39588,12,12,68,Cork,"OH, Plato P O, Amherst Corners, Lorrain Co. (last address)"
39589,12,12,68,Cork,"OH, Plato P O, Amherst Corners, Lorrain Co. (last address)"
39590,12,12,68,Cork,"OH, Plato P O, Amherst Corners, Lorrain Co. (last address)"
39591,12,12,68,Cork,"OH, Plato P O, Amherst Corners, Lorrain Co. (last address)"
39592,12,12,68,Cork,"OH, Plato P O, Amherst Corners, Lorrain Co. (last address)"
39593,12,12,68,Cork,"NY, Brooklyn (53/56)"
39594,12,12,68,Cork,"MA, Newburyport"
39595,12,12,68,Kerry,NY (last heard) 
39596,12,12,68,Kerry,"NY, Buffalo"
39597,12,12,68,Kerry,NY (some time)
39598,12,12,68,Kerry,"NH, Manchester (58/61)"
39599,12,12,68,Clare,"MA, Beverly (1866)"
39600,12,12,68,Kilkenny,
39601,12,12,68,,"LA, 351 Liberty St., New Orleans (3 weeks ago)"
39602,2,6,69,,North Hudson (left 1854)
39603,2,6,69,,"MS, Vicksburg Co. "
39604,2,6,69,,
39605,2,6,69,,
39606,2,6,69,,"Canada West, Milton"
39607,2,6,69,,
39608,2,6,69,Westmeath,
39609,2,6,69,Westmeath,
39610,2,6,69,Westmeath,
39611,2,6,69,Roscommon,"IN, Aurora"
39612,2,6,69,Clare,"PA, Schuylkill Co. (last heard, 1867)"
39613,2,6,69,Clare,"IL, Kane Co. (1858) "
39614,2,6,69,Clare,"IL, Kane Co. (1858) "
39615,2,6,69,Clare,"IL, Kane Co. (1858) "
39616,2,6,69,Clare,"IL, Kane Co. (1858) "
39617,2,6,69,Clare,"IL, Kane Co. (1858) "
39618,2,6,69,Clare,"IL, Kane Co. (1858) "
39619,1,2,69,Galway,
39620,2,6,69,Clare,
39621,2,6,69,Clare,
39622,2,6,69,Leitrim,"MA, Boston"
39623,2,6,69,Leitrim,"MA, Boston"
39624,2,6,69,Waterford,"NJ, Patterson (last heard 1857) "
39625,2,6,69,Waterford,"NJ, Patterson (last heard 1857) "
39626,2,6,69,Waterford,"NJ, Patterson (last heard 1857) "
39627,1,2,69,Galway,
39628,2,6,69,Waterford,MO (last heard) 
39629,1,2,69,Galway,
39630,2,6,69,Waterford,NYC (last heard)
39631,1,2,69,Galway,
39632,2,6,69,Waterford,MO (last heard) 
39633,2,6,69,Waterford,NYC (last heard)
39634,2,6,69,Galway,
39635,2,6,69,Galway,"MA, Boston or thereabouts (supposed)"
39636,2,6,69,Galway,"MA, Boston or thereabouts (supposed)"
39637,2,6,69,Galway,"MA, Boston or thereabouts (supposed)"
39638,2,6,69,Mayo,
39639,2,6,69,Mayo,
39640,2,6,69,MAyo,
39641,2,6,69,Mayo,
39642,2,6,69,Mayo,
39643,2,6,69,Mayo,
